benchname,class,runtime
vrf_verify_ct,0,1079013
vrf_verify_ct,0,1054097
vrf_verify_ct,0,1103598
vrf_verify_ct,0,1065763
vrf_verify_ct,0,1083222
vrf_verify_ct,0,1031679
vrf_verify_ct,0,1047930
vrf_verify_ct,0,1035138
vrf_verify_ct,0,1038930
vrf_verify_ct,0,1062930
vrf_verify_ct,0,1053722
vrf_verify_ct,0,1044680
vrf_verify_ct,0,1036430
vrf_verify_ct,0,1036514
vrf_verify_ct,0,1035972
vrf_verify_ct,0,1036513
vrf_verify_ct,0,1040430
vrf_verify_ct,0,1039555
vrf_verify_ct,0,1043138
vrf_verify_ct,0,1041013
vrf_verify_ct,0,1040472
vrf_verify_ct,0,1047555
vrf_verify_ct,0,1041888
vrf_verify_ct,0,1092930
vrf_verify_ct,0,1075847
vrf_verify_ct,0,1058138
vrf_verify_ct,0,1036972
vrf_verify_ct,0,1053596
vrf_verify_ct,0,1040722
vrf_verify_ct,0,1033888
vrf_verify_ct,0,1052513
vrf_verify_ct,0,1036930
vrf_verify_ct,0,1043555
vrf_verify_ct,0,1095264
vrf_verify_ct,0,1037222
vrf_verify_ct,0,1065639
vrf_verify_ct,0,1041680
vrf_verify_ct,0,1039389
vrf_verify_ct,0,1055346
vrf_verify_ct,0,1034763
vrf_verify_ct,0,1054513
vrf_verify_ct,0,1039513
vrf_verify_ct,0,1039055
vrf_verify_ct,0,1036347
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1063264
vrf_verify_ct,0,1075055
vrf_verify_ct,0,1049930
vrf_verify_ct,0,1038972
vrf_verify_ct,0,1037014
vrf_verify_ct,0,1037930
vrf_verify_ct,0,1037180
vrf_verify_ct,0,1045555
vrf_verify_ct,0,1076180
vrf_verify_ct,0,1070222
vrf_verify_ct,0,1047388
vrf_verify_ct,0,1052138
vrf_verify_ct,0,1040055
vrf_verify_ct,0,1046180
vrf_verify_ct,0,1047180
vrf_verify_ct,0,1037638
vrf_verify_ct,0,1038596
vrf_verify_ct,0,1073138
vrf_verify_ct,0,1044263
vrf_verify_ct,0,1046763
vrf_verify_ct,0,1053930
vrf_verify_ct,0,1038096
vrf_verify_ct,0,1037596
vrf_verify_ct,0,1035597
vrf_verify_ct,0,1069805
vrf_verify_ct,0,1037430
vrf_verify_ct,0,1058597
vrf_verify_ct,0,1035721
vrf_verify_ct,0,1035138
vrf_verify_ct,0,1033846
vrf_verify_ct,0,1032763
vrf_verify_ct,0,1035680
vrf_verify_ct,0,1041346
vrf_verify_ct,0,1041805
vrf_verify_ct,0,1049596
vrf_verify_ct,0,1050139
vrf_verify_ct,0,1039597
vrf_verify_ct,0,1049555
vrf_verify_ct,0,1038888
vrf_verify_ct,0,1050971
vrf_verify_ct,0,1091139
vrf_verify_ct,0,1041180
vrf_verify_ct,0,1035221
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1037888
vrf_verify_ct,0,1050263
vrf_verify_ct,0,1033805
vrf_verify_ct,0,1047263
vrf_verify_ct,0,1033763
vrf_verify_ct,0,1039763
vrf_verify_ct,0,1033930
vrf_verify_ct,0,1037513
vrf_verify_ct,0,1043097
vrf_verify_ct,0,1058263
vrf_verify_ct,0,1073097
vrf_verify_ct,0,1048847
vrf_verify_ct,0,1038763
vrf_verify_ct,0,1044305
vrf_verify_ct,0,1059555
vrf_verify_ct,0,1071764
vrf_verify_ct,0,1056596
vrf_verify_ct,0,1046638
vrf_verify_ct,0,1040847
vrf_verify_ct,0,1040222
vrf_verify_ct,0,1046555
vrf_verify_ct,0,1036680
vrf_verify_ct,0,1039221
vrf_verify_ct,0,1031804
vrf_verify_ct,0,1038847
vrf_verify_ct,0,1036347
vrf_verify_ct,0,1035805
vrf_verify_ct,0,1036139
vrf_verify_ct,0,1040347
vrf_verify_ct,0,1037930
vrf_verify_ct,0,1039096
vrf_verify_ct,0,1043930
vrf_verify_ct,0,1036222
vrf_verify_ct,0,1044263
vrf_verify_ct,0,1040388
vrf_verify_ct,0,1035888
vrf_verify_ct,0,1040847
vrf_verify_ct,0,1037055
vrf_verify_ct,0,1038638
vrf_verify_ct,0,1041138
vrf_verify_ct,0,1038680
vrf_verify_ct,0,1091514
vrf_verify_ct,0,1043055
vrf_verify_ct,0,1049180
vrf_verify_ct,0,1040847
vrf_verify_ct,0,1036472
vrf_verify_ct,0,1034013
vrf_verify_ct,0,1036514
vrf_verify_ct,0,1063306
vrf_verify_ct,0,1040805
